,favorite_count,retweet_count,tweet_id
296,17480,2731,837110210464448512
297,0,88,837012587749474308
298,13879,2610,836989968035819520
299,21029,5237,836753516572119041
300,13782,2522,836677758902222849
301,0,626,836648853927522308
302,0,31314,836397794269200385
303,16037,3337,836380477523124226
304,23177,4850,836260088725786625
305,20924,4935,836001077879255040
306,0,9327,835685285446955009
307,19447,4121,835574547218894849
308,0,1939,835536468978302976
309,0,24013,835309094223372289
310,17847,3381,835297930240217089
311,8503,1939,835264098648616962
312,2259,83,835246439529840640
313,28552,6516,835172783151792128
314,24574,3443,835152434251116546
315,11838,1878,834931633769889797
316,22943,6159,834786237630337024
317,14993,2882,834574053763584002
318,0,12224,834477809192075265
319,10512,1899,834458053273591808
320,22594,5476,834209720923721728
321,17194,4130,834167344700198914
322,10971,2427,834089966724603904
323,14296,2512,834086379323871233
324,14661,2729,833863086058651648
325,16728,3904,833826103416520705
326,0,251,833732339549220864
327,22585,3636,833722901757046785
328,16258,2357,833479644947025920
329,22133,5513,833124694597443584
330,14549,2522,832998151111966721
331,0,43,832769181346996225
332,18423,4127,832757312314028032
333,13017,3368,832682457690300417
334,3195,594,832645525019123713
335,17379,3220,832636094638288896
336,13126,2548,832397543355072512
337,18792,3652,832369877331693569
338,12385,2673,832273440279240704
339,0,7069,832215909146226688
340,0,10723,832215726631055365
341,72,3,832088576586297345
342,0,11131,832040443403784192
343,13887,4746,832032802820481025
344,26404,7031,831939777352105988
345,369,39,831926988323639298
346,30380,7458,831911600680497154
347,11469,2059,831670449226514432
348,7908,2243,831650051525054464
349,9872,2632,831552930092285952
350,10042,1744,831322785565769729
351,7117,1264,831315979191906304
352,12819,2786,831309418084069378
353,13066,2350,831262627380748289
354,8735,1735,830956169170665475
355,73397,19297,830583320585068544
356,0,6554,830173239259324417
